submission_id,QUD,RT,age,comments,education,endTime,experiment_id,gender,id,languages,option1,option2,option3,option4,option5,optionLeft,optionRight,question,response,s1,s2,s3,s4,s5,startDate,startTime,text1,text2,timeSpent,trial_name,trial_number
2784,NA,NA,22,,Graduated College,1629713146660,281,male,s5,"Bulgarian, German ",Animal Products,Protesting,Vaccine against Covid-19,Abortion,Political Orientation,NA,NA,Which out of these topics do you care about the most?,Political Orientation,NA,NA,NA,NA,NA,Mon Aug 23 2021 12:05:21 GMT+0200 (Mitteleuropäische Sommerzeit),1629713121057,NA,NA,0.4267166666666667,sentence_customized,1
2784,NA,NA,22,,Graduated College,1629713146660,281,male,NA,"Bulgarian, German ",NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,NA,+3,People should not buy or eat animal products,It is alright if political protesters use violence to enforce their demands,Everybody who is medically suited to receive a vaccination against Covid-19 should get such a vaccination,Abortion should be illegal,I am politically oriented towards the left,Mon Aug 23 2021 12:05:21 GMT+0200 (Mitteleuropäische Sommerzeit),1629713121057,NA,NA,0.4267166666666667,rating_choice,1
2784,NA,NA,22,,Graduated College,1629713146660,281,male,5,"Bulgarian, German ",NA,NA,NA,NA,NA,Call the police and report the robbery.,"Nothing, and let the robber be on their way.",What do you do?,+2,NA,NA,NA,NA,NA,Mon Aug 23 2021 12:05:21 GMT+0200 (Mitteleuropäische Sommerzeit),1629713121057, <br/><br/>Approximately 60% of the other participants who agree with you on  your chosen issue chose to report the robber. <br/><br/> Approximately 85% of participants in a previous study who disagreed with you on  your chosen issue chose to let the robber go.,"Imagine you have witnessed someone rob a bank. However, you then saw them do something unexpected with the money. They donated it all to a run-down orphanage that would benefit greatly from the money. You must decide whether to call the police and report the robber or do nothing and leave the robber alone.",0.4267166666666667,moral_dilemma_2A,1
2784,NA,NA,22,,Graduated College,1629713146660,281,male,s1,"Bulgarian, German ",Participants chose which action they preferred.,"Due to a computer error, participants were not allocated equally to imagine performing the different actions.",No data was saved during the experiment.,The participants completed the experiment with their eyes closed.,I don't understand what is happening here.,NA,NA,"To ensure you understood the assignment, please click on which of the following statements is true.",Participants chose which action they preferred.,NA,NA,NA,NA,NA,Mon Aug 23 2021 12:05:21 GMT+0200 (Mitteleuropäische Sommerzeit),1629713121057,NA,NA,0.4267166666666667,understanding_choice,1
2784,,3012,22,,Graduated College,1629713146660,281,male,NA,"Bulgarian, German ",NA,NA,NA,NA,NA,happy,sad,How do you feel about your choice?,2,NA,NA,NA,NA,NA,Mon Aug 23 2021 12:05:21 GMT+0200 (Mitteleuropäische Sommerzeit),1629713121057,NA,NA,0.4267166666666667,emotions_fake,1
2780,NA,NA,24,,Graduated High School,1629709876098,281,female,s4,German,Animal Products,Protesting,Vaccine against Covid-19,Abortion,Political Orientation,NA,NA,Which out of these topics do you care about the most?,Abortion,NA,NA,NA,NA,NA,Mon Aug 23 2021 11:10:16 GMT+0200 (Mitteleuropäische Sommerzeit),1629709816875,NA,NA,0.98705,sentence_customized,1
2780,NA,NA,24,,Graduated High School,1629709876098,281,female,NA,German,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,NA,-5,People should not buy or eat animal products,It is alright if political protesters use violence to enforce their demands,Everybody who is medically suited to receive a vaccination against Covid-19 should get such a vaccination,Abortion should be illegal,I am politically oriented towards the left,Mon Aug 23 2021 11:10:16 GMT+0200 (Mitteleuropäische Sommerzeit),1629709816875,NA,NA,0.98705,rating_choice,1
2780,NA,NA,24,,Graduated High School,1629709876098,281,female,4,German,NA,NA,NA,NA,NA,Call the police and report the robbery.,"Nothing, and let the robber be on their way.",What do you do?,+1,NA,NA,NA,NA,NA,Mon Aug 23 2021 11:10:16 GMT+0200 (Mitteleuropäische Sommerzeit),1629709816875, <br/><br/>Approximately 60% of the other participants who agree with you on  your chosen issue chose to report the robber. <br/><br/> Approximately 85% of participants in a previous study who disagreed with you on  your chosen issue chose to let the robber go.,"Imagine you have witnessed someone rob a bank. However, you then saw them do something unexpected with the money. They donated it all to a run-down orphanage that would benefit greatly from the money. You must decide whether to call the police and report the robber or do nothing and leave the robber alone.",0.98705,moral_dilemma_2A,1
2780,NA,NA,24,,Graduated High School,1629709876098,281,female,s1,German,Participants chose which action they preferred.,"Due to a computer error, participants were not allocated equally to imagine performing the different actions.",No data was saved during the experiment.,The participants completed the experiment with their eyes closed.,I don't understand what is happening here.,NA,NA,"To ensure you understood the assignment, please click on which of the following statements is true.",Participants chose which action they preferred.,NA,NA,NA,NA,NA,Mon Aug 23 2021 11:10:16 GMT+0200 (Mitteleuropäische Sommerzeit),1629709816875,NA,NA,0.98705,understanding_choice,1
2780,,8005,24,,Graduated High School,1629709876098,281,female,NA,German,NA,NA,NA,NA,NA,happy,sad,How do you feel about your choice?,4,NA,NA,NA,NA,NA,Mon Aug 23 2021 11:10:16 GMT+0200 (Mitteleuropäische Sommerzeit),1629709816875,NA,NA,0.98705,emotions_fake,1
2779,NA,NA,23,,Graduated High School,1629672814624,281,female,s1,,Animal Products,Protesting,Vaccine against Covid-19,Abortion,Political Orientation,NA,NA,Which out of these topics do you care about the most?,Animal Products,NA,NA,NA,NA,NA,Mon Aug 23 2021 00:52:38 GMT+0200 (CEST),1629672758724,NA,NA,0.9316666666666666,sentence_customized,1
2779,NA,NA,23,,Graduated High School,1629672814624,281,female,NA,,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,NA,+2,People should not buy or eat animal products,It is alright if political protesters use violence to enforce their demands,Everybody who is medically suited to receive a vaccination against Covid-19 should get such a vaccination,Abortion should be illegal,I am politically oriented towards the left,Mon Aug 23 2021 00:52:38 GMT+0200 (CEST),1629672758724,NA,NA,0.9316666666666666,rating_choice,1
2779,NA,NA,23,,Graduated High School,1629672814624,281,female,6,,NA,NA,NA,NA,NA,Call the police and report the robbery.,"Nothing, and let the robber be on their way.",What do you do?,+3,NA,NA,NA,NA,NA,Mon Aug 23 2021 00:52:38 GMT+0200 (CEST),1629672758724, <br/><br/>Approximately 60% of the other participants who agree with you on  your chosen issue chose to let the robber go. <br/><br/> Approximately 85% of participants in a previous study who disagreed with you on  your chosen issue chose to report the robber.,"Imagine you have witnessed someone rob a bank. However, you then saw them do something unexpected with the money. They donated it all to a run-down orphanage that would benefit greatly from the money. You must decide whether to call the police and report the robber or do nothing and leave the robber alone.",0.9316666666666666,moral_dilemma_2A,1
2779,NA,NA,23,,Graduated High School,1629672814624,281,female,s1,,Participants chose which action they preferred.,"Due to a computer error, participants were not allocated equally to imagine performing the different actions.",No data was saved during the experiment.,The participants completed the experiment with their eyes closed.,I don't understand what is happening here.,NA,NA,"To ensure you understood the assignment, please click on which of the following statements is true.",Participants chose which action they preferred.,NA,NA,NA,NA,NA,Mon Aug 23 2021 00:52:38 GMT+0200 (CEST),1629672758724,NA,NA,0.9316666666666666,understanding_choice,1
2779,,10715,23,,Graduated High School,1629672814624,281,female,NA,,NA,NA,NA,NA,NA,happy,sad,How do you feel about your choice?,4,NA,NA,NA,NA,NA,Mon Aug 23 2021 00:52:38 GMT+0200 (CEST),1629672758724,NA,NA,0.9316666666666666,emotions_fake,1
2774,NA,NA,23,,Graduated College,1629655087557,281,male,s5,German,Animal Products,Protesting,Vaccine against Covid-19,Abortion,Political Orientation,NA,NA,Which out of these topics do you care about the most?,Political Orientation,NA,NA,NA,NA,NA,Sun Aug 22 2021 19:57:27 GMT+0200 (CEST),1629655047767,NA,NA,0.6631666666666667,sentence_customized,1
2774,NA,NA,23,,Graduated College,1629655087557,281,male,NA,German,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,NA,+4,People should not buy or eat animal products,It is alright if political protesters use violence to enforce their demands,Everybody who is medically suited to receive a vaccination against Covid-19 should get such a vaccination,Abortion should be illegal,I am politically oriented towards the left,Sun Aug 22 2021 19:57:27 GMT+0200 (CEST),1629655047767,NA,NA,0.6631666666666667,rating_choice,1
2774,NA,NA,23,,Graduated College,1629655087557,281,male,5,German,NA,NA,NA,NA,NA,Call the police and report the robbery.,"Nothing, and let the robber be on their way.",What do you do?,+2,NA,NA,NA,NA,NA,Sun Aug 22 2021 19:57:27 GMT+0200 (CEST),1629655047767, <br/><br/>60% of the other participants who agree with you on your chosen issue chose to report the robber.,"Imagine you have witnessed someone rob a bank. However, you then saw them do something unexpected with the money. They donated it all to a run-down orphanage that would benefit greatly from the money. You must decide whether to call the police and report the robber or do nothing and leave the robber alone.",0.6631666666666667,moral_dilemma_2A,1
2774,NA,NA,23,,Graduated College,1629655087557,281,male,s1,German,Participants chose which action they preferred.,"Due to a computer error, participants were not allocated equally to imagine performing the different actions.",No data was saved during the experiment.,The participants completed the experiment with their eyes closed.,I don't understand what is happening here.,NA,NA,"To ensure you understood the assignment, please click on which of the following statements is true.",Participants chose which action they preferred.,NA,NA,NA,NA,NA,Sun Aug 22 2021 19:57:27 GMT+0200 (CEST),1629655047767,NA,NA,0.6631666666666667,understanding_choice,1
2774,,4962,23,,Graduated College,1629655087557,281,male,NA,German,NA,NA,NA,NA,NA,happy,sad,How do you feel about your choice?,2,NA,NA,NA,NA,NA,Sun Aug 22 2021 19:57:27 GMT+0200 (CEST),1629655047767,NA,NA,0.6631666666666667,emotions_fake,1
2772,NA,NA,24,,Graduated College,1629653761438,281,female,s5,German,Animal Products,Protesting,Vaccine against Covid-19,Abortion,Political Orientation,NA,NA,Which out of these topics do you care about the most?,Political Orientation,NA,NA,NA,NA,NA,Sun Aug 22 2021 19:35:19 GMT+0200 (CEST),1629653719952,NA,NA,0.6914333333333333,sentence_customized,1
2772,NA,NA,24,,Graduated College,1629653761438,281,female,NA,German,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,NA,+5,People should not buy or eat animal products,It is alright if political protesters use violence to enforce their demands,Everybody who is medically suited to receive a vaccination against Covid-19 should get such a vaccination,Abortion should be illegal,I am politically oriented towards the left,Sun Aug 22 2021 19:35:19 GMT+0200 (CEST),1629653719952,NA,NA,0.6914333333333333,rating_choice,1
2772,NA,NA,24,,Graduated College,1629653761438,281,female,6,German,NA,NA,NA,NA,NA,Call the police and report the robbery.,"Nothing, and let the robber be on their way.",What do you do?,+3,NA,NA,NA,NA,NA,Sun Aug 22 2021 19:35:19 GMT+0200 (CEST),1629653719952, <br/><br/>Approximately 60% of the other participants who agree with you on  your chosen issue chose to report the robber. <br/><br/> Approximately 85% of participants in a previous study who disagreed with you on  your chosen issue chose to let the robber go.,"Imagine you have witnessed someone rob a bank. However, you then saw them do something unexpected with the money. They donated it all to a run-down orphanage that would benefit greatly from the money. You must decide whether to call the police and report the robber or do nothing and leave the robber alone.",0.6914333333333333,moral_dilemma_2A,1
2772,NA,NA,24,,Graduated College,1629653761438,281,female,s1,German,Participants chose which action they preferred.,"Due to a computer error, participants were not allocated equally to imagine performing the different actions.",No data was saved during the experiment.,The participants completed the experiment with their eyes closed.,I don't understand what is happening here.,NA,NA,"To ensure you understood the assignment, please click on which of the following statements is true.",Participants chose which action they preferred.,NA,NA,NA,NA,NA,Sun Aug 22 2021 19:35:19 GMT+0200 (CEST),1629653719952,NA,NA,0.6914333333333333,understanding_choice,1
2772,,7017,24,,Graduated College,1629653761438,281,female,NA,German,NA,NA,NA,NA,NA,happy,sad,How do you feel about your choice?,2,NA,NA,NA,NA,NA,Sun Aug 22 2021 19:35:19 GMT+0200 (CEST),1629653719952,NA,NA,0.6914333333333333,emotions_fake,1
2768,NA,NA,25,,Higher Degree,1629637842063,281,male,s5,German,Animal Products,Protesting,Vaccine against Covid-19,Abortion,Political Orientation,NA,NA,Which out of these topics do you care about the most?,Political Orientation,NA,NA,NA,NA,NA,Sun Aug 22 2021 15:10:23 GMT+0200 (CEST),1629637823727,NA,NA,0.3056,sentence_customized,1
2768,NA,NA,25,,Higher Degree,1629637842063,281,male,NA,German,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,NA,-3,People should not buy or eat animal products,It is alright if political protesters use violence to enforce their demands,Everybody who is medically suited to receive a vaccination against Covid-19 should get such a vaccination,Abortion should be illegal,I am politically oriented towards the left,Sun Aug 22 2021 15:10:23 GMT+0200 (CEST),1629637823727,NA,NA,0.3056,rating_choice,1
2768,NA,NA,25,,Higher Degree,1629637842063,281,male,1,German,NA,NA,NA,NA,NA,Call the police and report the robbery.,"Nothing, and let the robber be on their way.",What do you do?,-3,NA,NA,NA,NA,NA,Sun Aug 22 2021 15:10:23 GMT+0200 (CEST),1629637823727, <br/><br/>Approximately 60% of the other participants who agree with you on your chosen issue chose to let the robber go.,"Imagine you have witnessed someone rob a bank. However, you then saw them do something unexpected with the money. They donated it all to a run-down orphanage that would benefit greatly from the money. You must decide whether to call the police and report the robber or do nothing and leave the robber alone.",0.3056,moral_dilemma_2A,1
2768,NA,NA,25,,Higher Degree,1629637842063,281,male,s1,German,Participants chose which action they preferred.,"Due to a computer error, participants were not allocated equally to imagine performing the different actions.",No data was saved during the experiment.,The participants completed the experiment with their eyes closed.,I don't understand what is happening here.,NA,NA,"To ensure you understood the assignment, please click on which of the following statements is true.",Participants chose which action they preferred.,NA,NA,NA,NA,NA,Sun Aug 22 2021 15:10:23 GMT+0200 (CEST),1629637823727,NA,NA,0.3056,understanding_choice,1
2768,,24084,25,,Higher Degree,1629637842063,281,male,NA,German,NA,NA,NA,NA,NA,happy,sad,How do you feel about your choice?,2,NA,NA,NA,NA,NA,Sun Aug 22 2021 15:10:23 GMT+0200 (CEST),1629637823727,NA,NA,0.3056,emotions_fake,1
2767,NA,NA,,,,1629635218531,281,,s4,,Animal Products,Protesting,Vaccine against Covid-19,Abortion,Political Orientation,NA,NA,Which out of these topics do you care about the most?,Abortion,NA,NA,NA,NA,NA,Sun Aug 22 2021 14:26:53 GMT+0200 (Midden-Europese zomertijd),1629635213367,NA,NA,0.08606666666666667,sentence_customized,1
2767,NA,NA,,,,1629635218531,281,,NA,,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,NA,-5,People should not buy or eat animal products,It is alright if political protesters use violence to enforce their demands,Everybody who is medically suited to receive a vaccination against Covid-19 should get such a vaccination,Abortion should be illegal,I am politically oriented towards the left,Sun Aug 22 2021 14:26:53 GMT+0200 (Midden-Europese zomertijd),1629635213367,NA,NA,0.08606666666666667,rating_choice,1
2767,NA,NA,,,,1629635218531,281,,6,,NA,NA,NA,NA,NA,Call the police and report the robbery.,"Nothing, and let the robber be on their way.",What do you do?,+3,NA,NA,NA,NA,NA,Sun Aug 22 2021 14:26:53 GMT+0200 (Midden-Europese zomertijd),1629635213367, <br/><br/>Approximately 60% of the other participants who agree with you on  your chosen issue chose to let the robber go. <br/><br/> Approximately 85% of participants in a previous study who disagreed with you on  your chosen issue chose to report the robber.,"Imagine you have witnessed someone rob a bank. However, you then saw them do something unexpected with the money. They donated it all to a run-down orphanage that would benefit greatly from the money. You must decide whether to call the police and report the robber or do nothing and leave the robber alone.",0.08606666666666667,moral_dilemma_2A,1
2767,NA,NA,,,,1629635218531,281,,s1,,Participants chose which action they preferred.,"Due to a computer error, participants were not allocated equally to imagine performing the different actions.",No data was saved during the experiment.,The participants completed the experiment with their eyes closed.,I don't understand what is happening here.,NA,NA,"To ensure you understood the assignment, please click on which of the following statements is true.",Participants chose which action they preferred.,NA,NA,NA,NA,NA,Sun Aug 22 2021 14:26:53 GMT+0200 (Midden-Europese zomertijd),1629635213367,NA,NA,0.08606666666666667,understanding_choice,1
2767,,2840,,,,1629635218531,281,,NA,,NA,NA,NA,NA,NA,happy,sad,How do you feel about your choice?,1,NA,NA,NA,NA,NA,Sun Aug 22 2021 14:26:53 GMT+0200 (Midden-Europese zomertijd),1629635213367,NA,NA,0.08606666666666667,emotions_fake,1
2766,NA,NA,23,,Graduated College,1629633958360,281,female,s1,German,Animal Products,Protesting,Vaccine against Covid-19,Abortion,Political Orientation,NA,NA,Which out of these topics do you care about the most?,Animal Products,NA,NA,NA,NA,NA,Sun Aug 22 2021 14:05:17 GMT+0200 (CEST),1629633917741,NA,NA,0.6769833333333334,sentence_customized,1
2766,NA,NA,23,,Graduated College,1629633958360,281,female,NA,German,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,NA,+3,People should not buy or eat animal products,It is alright if political protesters use violence to enforce their demands,Everybody who is medically suited to receive a vaccination against Covid-19 should get such a vaccination,Abortion should be illegal,I am politically oriented towards the left,Sun Aug 22 2021 14:05:17 GMT+0200 (CEST),1629633917741,NA,NA,0.6769833333333334,rating_choice,1
2766,NA,NA,23,,Graduated College,1629633958360,281,female,5,German,NA,NA,NA,NA,NA,Call the police and report the robbery.,"Nothing, and let the robber be on their way.",What do you do?,+2,NA,NA,NA,NA,NA,Sun Aug 22 2021 14:05:17 GMT+0200 (CEST),1629633917741, <br/><br/>Approximately 60% of the other participants who agree with you on your chosen issue chose to let the robber go.,"Imagine you have witnessed someone rob a bank. However, you then saw them do something unexpected with the money. They donated it all to a run-down orphanage that would benefit greatly from the money. You must decide whether to call the police and report the robber or do nothing and leave the robber alone.",0.6769833333333334,moral_dilemma_2A,1
2766,NA,NA,23,,Graduated College,1629633958360,281,female,s5,German,Participants chose which action they preferred.,"Due to a computer error, participants were not allocated equally to imagine performing the different actions.",No data was saved during the experiment.,The participants completed the experiment with their eyes closed.,I don't understand what is happening here.,NA,NA,"To ensure you understood the assignment, please click on which of the following statements is true.",I don't understand what is happening here.,NA,NA,NA,NA,NA,Sun Aug 22 2021 14:05:17 GMT+0200 (CEST),1629633917741,NA,NA,0.6769833333333334,understanding_choice,1
2766,,12066,23,,Graduated College,1629633958360,281,female,NA,German,NA,NA,NA,NA,NA,happy,sad,How do you feel about your choice?,4,NA,NA,NA,NA,NA,Sun Aug 22 2021 14:05:17 GMT+0200 (CEST),1629633917741,NA,NA,0.6769833333333334,emotions_fake,1
2765,NA,NA,23,,Graduated College,1629633617159,281,male,s5,czech,Animal Products,Protesting,Vaccine against Covid-19,Abortion,Political Orientation,NA,NA,Which out of these topics do you care about the most?,Political Orientation,NA,NA,NA,NA,NA,Sun Aug 22 2021 13:54:45 GMT+0200 (Středoevropský letní čas),1629633285063,NA,NA,5.534933333333333,sentence_customized,1
2765,NA,NA,23,,Graduated College,1629633617159,281,male,NA,czech,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,NA,+2,People should not buy or eat animal products,It is alright if political protesters use violence to enforce their demands,Everybody who is medically suited to receive a vaccination against Covid-19 should get such a vaccination,Abortion should be illegal,I am politically oriented towards the left,Sun Aug 22 2021 13:54:45 GMT+0200 (Středoevropský letní čas),1629633285063,NA,NA,5.534933333333333,rating_choice,1
2765,NA,NA,23,,Graduated College,1629633617159,281,male,1,czech,NA,NA,NA,NA,NA,Call the police and report the robbery.,"Nothing, and let the robber be on their way.",What do you do?,-3,NA,NA,NA,NA,NA,Sun Aug 22 2021 13:54:45 GMT+0200 (Středoevropský letní čas),1629633285063, <br/><br/>Approximately 60% of the other participants who agree with you on  your chosen issue chose to report the robber. <br/><br/> Approximately 85% of participants in a previous study who disagreed with you on  your chosen issue chose to let the robber go.,"Imagine you have witnessed someone rob a bank. However, you then saw them do something unexpected with the money. They donated it all to a run-down orphanage that would benefit greatly from the money. You must decide whether to call the police and report the robber or do nothing and leave the robber alone.",5.534933333333333,moral_dilemma_2A,1
2765,NA,NA,23,,Graduated College,1629633617159,281,male,s1,czech,Participants chose which action they preferred.,"Due to a computer error, participants were not allocated equally to imagine performing the different actions.",No data was saved during the experiment.,The participants completed the experiment with their eyes closed.,I don't understand what is happening here.,NA,NA,"To ensure you understood the assignment, please click on which of the following statements is true.",Participants chose which action they preferred.,NA,NA,NA,NA,NA,Sun Aug 22 2021 13:54:45 GMT+0200 (Středoevropský letní čas),1629633285063,NA,NA,5.534933333333333,understanding_choice,1
2765,,6331,23,,Graduated College,1629633617159,281,male,NA,czech,NA,NA,NA,NA,NA,happy,sad,How do you feel about your choice?,2,NA,NA,NA,NA,NA,Sun Aug 22 2021 13:54:45 GMT+0200 (Středoevropský letní čas),1629633285063,NA,NA,5.534933333333333,emotions_fake,1
2764,NA,NA,23,,Higher Degree,1629633681372,281,female,s1,German,Animal Products,Protesting,Vaccine against Covid-19,Abortion,Political Orientation,NA,NA,Which out of these topics do you care about the most?,Animal Products,NA,NA,NA,NA,NA,Sun Aug 22 2021 14:01:10 GMT+0200 (Central European Summer Time),1629633670383,NA,NA,0.18315,sentence_customized,1
2764,NA,NA,23,,Higher Degree,1629633681372,281,female,NA,German,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,NA,+5,People should not buy or eat animal products,It is alright if political protesters use violence to enforce their demands,Everybody who is medically suited to receive a vaccination against Covid-19 should get such a vaccination,Abortion should be illegal,I am politically oriented towards the left,Sun Aug 22 2021 14:01:10 GMT+0200 (Central European Summer Time),1629633670383,NA,NA,0.18315,rating_choice,1
2764,NA,NA,23,,Higher Degree,1629633681372,281,female,5,German,NA,NA,NA,NA,NA,Call the police and report the robbery.,"Nothing, and let the robber be on their way.",What do you do?,+2,NA,NA,NA,NA,NA,Sun Aug 22 2021 14:01:10 GMT+0200 (Central European Summer Time),1629633670383, <br/><br/>Approximately 60% of the other participants who agree with you on  your chosen issue chose to report the robber. <br/><br/> Approximately 85% of participants in a previous study who disagreed with you on  your chosen issue chose to let the robber go.,"Imagine you have witnessed someone rob a bank. However, you then saw them do something unexpected with the money. They donated it all to a run-down orphanage that would benefit greatly from the money. You must decide whether to call the police and report the robber or do nothing and leave the robber alone.",0.18315,moral_dilemma_2A,1
2764,NA,NA,23,,Higher Degree,1629633681372,281,female,s1,German,Participants chose which action they preferred.,"Due to a computer error, participants were not allocated equally to imagine performing the different actions.",No data was saved during the experiment.,The participants completed the experiment with their eyes closed.,I don't understand what is happening here.,NA,NA,"To ensure you understood the assignment, please click on which of the following statements is true.",Participants chose which action they preferred.,NA,NA,NA,NA,NA,Sun Aug 22 2021 14:01:10 GMT+0200 (Central European Summer Time),1629633670383,NA,NA,0.18315,understanding_choice,1
2764,,8088,23,,Higher Degree,1629633681372,281,female,NA,German,NA,NA,NA,NA,NA,happy,sad,How do you feel about your choice?,3,NA,NA,NA,NA,NA,Sun Aug 22 2021 14:01:10 GMT+0200 (Central European Summer Time),1629633670383,NA,NA,0.18315,emotions_fake,1
2762,NA,NA,23,,Graduated High School,1629631753618,281,male,s2,German,Animal Products,Protesting,Vaccine against Covid-19,Abortion,Political Orientation,NA,NA,Which out of these topics do you care about the most?,Protesting,NA,NA,NA,NA,NA,Sun Aug 22 2021 13:28:20 GMT+0200 (Central European Summer Time),1629631700132,NA,NA,0.8914333333333333,sentence_customized,1
2762,NA,NA,23,,Graduated High School,1629631753618,281,male,NA,German,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,NA,-5,People should not buy or eat animal products,It is alright if political protesters use violence to enforce their demands,Everybody who is medically suited to receive a vaccination against Covid-19 should get such a vaccination,Abortion should be illegal,I am politically oriented towards the left,Sun Aug 22 2021 13:28:20 GMT+0200 (Central European Summer Time),1629631700132,NA,NA,0.8914333333333333,rating_choice,1
